--- ---
  0   0   0   0
106 192 163 255
110 191 161 255
114 189 159 255
118 188 157 255
122 186 155 255
126 185 153 255
130 183 152 255
134 182 150 255
139 180 148 255
143 179 146 255
147 177 144 255
151 176 142 255
155 175 141 255
159 173 139 255
163 172 137 255
167 170 135 255
172 169 133 255
176 167 131 255
180 166 130 255
184 164 128 255
188 163 126 255
192 161 124 255
196 160 122 255
200 159 120 255
204 157 119 255
209 156 117 255
213 154 115 255
217 153 113 255
221 151 111 255
225 150 109 255
229 148 107 255
233 147 106 255
237 145 104 255
242 144 102 255
246 143 100 255
250 141  98 255
250 141  99 255
247 141 102 255
244 142 105 255
241 142 108 255
238 143 111 255
235 143 114 255
231 144 116 255
228 144 119 255
225 145 122 255
222 145 125 255
219 146 128 255
216 147 131 255
213 147 134 255
210 148 137 255
207 148 140 255
204 149 142 255
201 149 145 255
198 150 148 255
195 150 151 255
192 151 154 255
189 151 157 255
186 152 160 255
183 152 163 255
180 153 165 255
177 153 168 255
174 154 171 255
171 154 174 255
167 155 177 255
164 155 180 255
161 156 183 255
158 156 186 255
155 157 189 255
152 157 191 255
149 158 194 255
146 159 197 255
143 159 200 255
141 159 202 255
143 159 202 255
146 158 202 255
148 158 202 255
151 157 202 255
153 156 201 255
156 156 201 255
158 155 201 255
161 155 201 255
163 154 200 255
166 153 200 255
168 153 200 255
171 152 200 255
173 152 200 255
175 151 199 255
178 150 199 255
180 150 199 255
183 149 199 255
185 149 199 255
188 148 198 255
190 147 198 255
193 147 198 255
195 146 198 255
198 146 197 255
200 145 197 255
203 144 197 255
205 144 197 255
208 143 197 255
210 143 196 255
213 142 196 255
215 141 196 255
217 141 196 255
220 140 195 255
222 139 195 255
225 139 195 255
227 138 195 255
230 138 195 255
229 139 192 255
227 141 189 255
226 143 186 255
224 145 183 255
222 148 180 255
220 150 177 255
219 152 174 255
217 154 171 255
215 156 168 255
213 158 165 255
211 160 162 255
210 163 159 255
208 165 156 255
206 167 153 255
204 169 150 255
202 171 147 255
201 173 144 255
199 175 141 255
197 178 137 255
195 180 134 255
194 182 131 255
192 184 128 255
190 186 125 255
188 188 122 255
186 190 119 255
185 193 116 255
183 195 113 255
181 197 110 255
179 199 107 255
177 201 104 255
176 203 101 255
174 205  98 255
172 208  95 255
170 210  92 255
169 212  89 255
167 214  86 255
166 216  83 255
169 216  82 255
171 216  81 255
174 216  80 255
176 216  79 255
178 216  78 255
181 216  77 255
183 216  76 255
186 216  75 255
188 216  74 255
191 216  73 255
193 216  72 255
196 216  71 255
198 216  70 255
200 216  69 255
203 216  68 255
205 216  67 255
208 216  66 255
210 216  65 255
213 216  64 255
215 216  63 255
218 216  62 255
220 216  61 255
222 216  60 255
225 216  59 255
227 216  58 255
230 216  57 255
232 216  56 255
235 216  55 255
237 216  54 255
239 216  53 255
242 216  52 255
244 216  51 255
247 216  50 255
249 216  49 255
252 216  48 255
254 216  47 255
254 216  49 255
253 215  52 255
252 215  54 255
252 214  57 255
251 214  60 255
250 213  63 255
250 213  66 255
249 212  68 255
248 211  71 255
247 211  74 255
247 210  77 255
246 210  79 255
245 209  82 255
245 209  85 255
244 208  88 255
243 207  90 255
242 207  93 255
242 206  96 255
241 206  99 255
240 205 102 255
240 204 104 255
239 204 107 255
238 203 110 255
237 203 113 255
237 202 115 255
236 202 118 255
235 201 121 255
235 200 124 255
234 200 127 255
233 199 129 255
232 199 132 255
232 198 135 255
231 198 138 255
230 197 140 255
230 196 143 255
229 196 146 255
228 195 148 255
227 195 149 255
225 194 150 255
224 194 150 255
222 193 151 255
221 193 152 255
220 193 153 255
218 192 154 255
217 192 155 255
216 191 156 255
214 191 156 255
213 190 157 255
211 190 158 255
210 189 159 255
209 189 160 255
207 188 161 255
206 188 161 255
205 187 162 255
203 187 163 255
202 186 164 255
200 186 165 255
199 186 166 255
198 185 167 255
196 185 167 255
195 184 168 255
194 184 169 255
192 183 170 255
191 183 171 255
189 182 172 255
188 182 173 255
187 181 173 255
185 181 174 255
184 180 175 255
183 180 176 255
181 179 177 255
180 179 178 255
179 179 179 255
